rank,prev_rank,name,league,off,def,spi
1,1,Manchester City,Barclays Premier League,3.13,0.21,94.66
2,2,Bayern Munich,German Bundesliga,3.33,0.34,94.11
3,3,Liverpool,Barclays Premier League,2.85,0.24,92.83
4,4,Barcelona,Spanish Primera Division,2.89,0.41,90.55
5,5,Real Madrid,Spanish Primera Division,2.57,0.32,89.69
6,6,Paris Saint-Germain,French Ligue 1,3.19,0.65,89.15
7,7,Manchester United,Barclays Premier League,2.43,0.34,88.01
8,10,Chelsea,Barclays Premier League,2.52,0.44,86.92
9,9,RB Leipzig,German Bundesliga,2.51,0.5,85.75
10,12,Juventus,Italy Serie A,2.44,0.49,85.19
11,11,Atletico Madrid,Spanish Primera Division,2.09,0.33,84.61
12,8,Borussia Dortmund,German Bundesliga,2.38,0.55,83.29
13,13,Atalanta,Italy Serie A,2.73,0.79,82.64
14,14,Wolverhampton,Barclays Premier League,1.96,0.36,82.16
15,15,Leicester City,Barclays Premier League,2.1,0.48,81.32
16,17,Bayer Leverkusen,German Bundesliga,2.35,0.66,80.65
17,16,Sevilla FC,Spanish Primera Division,2.07,0.5,80.51
18,23,FC Salzburg,Austrian T-Mobile Bundesliga,2.93,1.05,80.22
19,18,Internazionale,Italy Serie A,2.33,0.72,79.26
20,21,Borussia Monchengladbach,German Bundesliga,2.32,0.72,78.93
21,19,Getafe,Spanish Primera Division,1.78,0.39,78.79
22,22,Everton,Barclays Premier League,2.03,0.56,78.42
23,20,Zenit St Petersburg,Russian Premier Liga,2.09,0.6,78.3
24,26,Arsenal,Barclays Premier League,2.1,0.66,77.25
25,27,Tottenham Hotspur,Barclays Premier League,2.16,0.71,76.94
26,24,Ajax,Dutch Eredivisie,2.54,0.99,76.46
27,31,Napoli,Italy Serie A,2.12,0.73,75.97
28,25,Lazio,Italy Serie A,2.16,0.76,75.79
29,29,Olympiacos,Greek Super League,2.04,0.68,75.78
30,32,Real Sociedad,Spanish Primera Division,1.98,0.68,74.9
31,28,VfL Wolfsburg,German Bundesliga,2.04,0.72,74.86
